Month,PlannerName,Product,ProductFamily,Plant, Forecast_Tons ,Resource,Scenario Version,Comment
2031-12,Miranda,BFORCE 2813 CHN ISOC 18.7KG PL,BETAFORCE 2813 ISOC CUR,CA04,0.00,CA04 - 1300L JD,50 case,12120376
2026-01,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.00,CA04 - Repack,50 case,280291
2026-02,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.00,CA04 - Repack,50 case,280291
2026-03,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.00,CA04 - Repack,50 case,280291
2026-04,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.18,CA04 - Repack,50 case,280291
2026-05,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.29,CA04 - Repack,50 case,280291
2026-06,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.29,CA04 - Repack,50 case,280291
2026-07,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.29,CA04 - Repack,50 case,280291
2026-08,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.29,CA04 - Repack,50 case,280291
2026-09,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.29,CA04 - Repack,50 case,280291
2026-10,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.29,CA04 - Repack,50 case,280291
2026-11,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.29,CA04 - Repack,50 case,280291
2026-12,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.29,CA04 - Repack,50 case,280291
2027-01,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-02,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-03,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-04,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-05,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-06,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-07,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-08,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-09,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-10,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-11,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2027-12,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.97,CA04 - Repack,50 case,280291
2028-01,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-02,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-03,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-04,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-05,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-06,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-07,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-08,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-09,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-10,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-11,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2028-12,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.98,CA04 - Repack,50 case,280291
2029-01,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-02,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-03,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-04,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-05,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-06,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-07,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-08,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-09,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-10,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2029-11,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
